,Ping (ms),Download (Mbit/s),Upload (Mbit/s),Datetime,Date,Time
279,19.645,92.1,14.24,24/11/2016 15:57,2016-11-24,15:57:00
280,22.01,90.77,13.44,24/11/2016 15:58,2016-11-24,15:58:00
281,22.089000000000002,88.43,13.31,24/11/2016 15:58,2016-11-24,15:58:00
282,18.988,89.46,13.18,24/11/2016 15:59,2016-11-24,15:59:00
283,19.109,91.88,13.22,24/11/2016 15:59,2016-11-24,15:59:00
284,19.236,92.21,9.7,24/11/2016 16:00,2016-11-24,16:00:00
285,23.349,92.34,13.4,24/11/2016 16:00,2016-11-24,16:00:00
286,21.709,91.79,13.73,24/11/2016 16:01,2016-11-24,16:01:00
287,21.174,91.94,13.64,24/11/2016 16:01,2016-11-24,16:01:00
288,18.41,92.16,13.17,24/11/2016 16:02,2016-11-24,16:02:00
289,22.199,90.4,13.55,24/11/2016 16:02,2016-11-24,16:02:00
290,25.04,91.09,13.16,24/11/2016 16:03,2016-11-24,16:03:00
291,20.122,91.69,13.38,24/11/2016 16:04,2016-11-24,16:04:00
292,21.772,91.93,13.42,24/11/2016 16:04,2016-11-24,16:04:00
293,18.295,91.92,13.2,24/11/2016 16:05,2016-11-24,16:05:00
294,21.232,91.16,13.04,24/11/2016 16:05,2016-11-24,16:05:00
295,20.565,87.69,13.21,24/11/2016 16:06,2016-11-24,16:06:00
296,21.546,92.13,13.25,24/11/2016 16:06,2016-11-24,16:06:00
297,18.059,91.93,13.07,24/11/2016 16:07,2016-11-24,16:07:00
298,21.004,92.24,13.34,24/11/2016 16:07,2016-11-24,16:07:00
299,21.31,91.99,13.38,24/11/2016 16:08,2016-11-24,16:08:00
300,23.978,91.77,13.45,24/11/2016 16:08,2016-11-24,16:08:00
301,21.924,91.31,13.37,24/11/2016 16:09,2016-11-24,16:09:00
302,20.669,91.6,13.46,24/11/2016 16:09,2016-11-24,16:09:00
303,21.775,92.3,13.64,24/11/2016 16:10,2016-11-24,16:10:00
304,20.941999999999997,90.54,13.33,24/11/2016 16:10,2016-11-24,16:10:00
305,21.843000000000004,90.97,12.41,24/11/2016 16:11,2016-11-24,16:11:00
306,21.906,90.08,13.06,24/11/2016 16:11,2016-11-24,16:11:00
307,23.331,88.6,12.46,24/11/2016 16:12,2016-11-24,16:12:00
308,22.569000000000003,91.68,13.14,24/11/2016 16:12,2016-11-24,16:12:00
309,17.265,91.89,13.25,24/11/2016 16:13,2016-11-24,16:13:00
310,18.967,91.98,12.73,24/11/2016 16:13,2016-11-24,16:13:00
311,19.44,92.64,12.79,24/11/2016 16:14,2016-11-24,16:14:00
312,20.452,92.61,13.98,24/11/2016 16:14,2016-11-24,16:14:00
313,19.496,88.72,12.96,24/11/2016 16:15,2016-11-24,16:15:00
314,23.168000000000003,92.59,11.72,24/11/2016 16:15,2016-11-24,16:15:00
315,20.149,90.09,12.78,24/11/2016 16:16,2016-11-24,16:16:00
316,20.881999999999998,91.76,13.31,24/11/2016 16:16,2016-11-24,16:16:00
317,18.078,91.12,12.56,24/11/2016 16:17,2016-11-24,16:17:00
318,17.782,91.59,12.9,24/11/2016 16:17,2016-11-24,16:17:00
319,17.791,91.16,12.21,24/11/2016 16:18,2016-11-24,16:18:00
320,18.988,92.35,12.24,24/11/2016 16:18,2016-11-24,16:18:00
321,22.42,91.64,13.1,24/11/2016 16:19,2016-11-24,16:19:00
322,20.09,90.18,12.17,24/11/2016 16:19,2016-11-24,16:19:00
323,19.617,92.56,12.12,24/11/2016 16:20,2016-11-24,16:20:00
324,21.881,92.11,13.29,24/11/2016 16:20,2016-11-24,16:20:00
325,27.408,92.18,13.95,24/11/2016 16:21,2016-11-24,16:21:00
326,19.746,92.59,13.86,24/11/2016 16:21,2016-11-24,16:21:00
327,19.294,90.28,14.14,24/11/2016 16:22,2016-11-24,16:22:00
328,16.852999999999998,91.57,12.94,24/11/2016 16:22,2016-11-24,16:22:00
329,20.168,91.92,14.15,24/11/2016 16:23,2016-11-24,16:23:00
330,20.840999999999998,90.92,13.58,24/11/2016 16:23,2016-11-24,16:23:00
331,18.108,91.26,13.93,24/11/2016 16:24,2016-11-24,16:24:00
332,18.108,91.39,14.29,24/11/2016 16:24,2016-11-24,16:24:00
333,19.962,91.44,14.17,24/11/2016 16:25,2016-11-24,16:25:00
334,19.377,92.82,13.88,24/11/2016 16:25,2016-11-24,16:25:00
335,23.496,88.94,14.14,24/11/2016 16:26,2016-11-24,16:26:00
336,21.449,90.21,13.83,24/11/2016 16:26,2016-11-24,16:26:00
337,20.348,92.36,12.74,24/11/2016 16:27,2016-11-24,16:27:00
338,19.203,92.78,13.52,24/11/2016 16:27,2016-11-24,16:27:00
339,18.927,92.47,13.25,24/11/2016 16:28,2016-11-24,16:28:00
340,19.406,91.51,13.92,24/11/2016 16:28,2016-11-24,16:28:00
